Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company,Clustered
,Werkskraftwerk Sappi Alfeld,13.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Alfeld GmbH,no
,HKW Altenstadt,9.8,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,Heizkraftwerk Altenstadt GmbH & Co. KG,no
,Zellstoff Stendal GmbH,138.9,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,600,,,,,,,,,,,Zellstoff Stendal GmbH,no
,UTB,16.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfleiderer Baruth GmbH,no
,BHW Beeskow,18.3,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sonae Arauco Beeskow GmbH,no
,BMKW Bergkamen,17.7,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Innogy SE,no
,HHKW Berlin-Neukölln,16.5,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,innogy SE,no
,ENERTRAG Netz GmbH  (UW Bertikow),20.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,ENERTRAG Aktiengesellschaft,no
,Biomassekraftwerk Bischofferode,18.1,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,Stadtwerke Leipzig GmbH,no
,Egger Kraftwerk Brilon,18.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Egger Holzwerkstoffe Brilon GmbH & Co. KG,no
,Werkskraftwerk Sappi Ehingen,13.2,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Ehingen GmbH,no
,Werkskraftwerk Sappi Ehingen,8.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Ehingen GmbH,no
,Emden Biomasse,22.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Statkraft Markets GmbH,no
,Emden Gas,52.0,1.0,DE,,,GTUR,Biomass and biogas,,,,,,,,,,,,,no,,,,,,,,,,,,,,Statkraft Markets GmbH,no
,Biomasse-HKW,30.6,2.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,innogy SE,yes
,BMKW Flörsheim Wicker,12.6,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,MVV Energie AG,no
,BKF,12.4,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Mainova AG,no
,KWK Gütersloh,12.1,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfleiderer Gütersloh GmbH,no
,Biomasse-Verstromungs-Anlage,20.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Mark-E AG,no
,Müllverwertung Borsigstraße MVB,20.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Müllverwertung Borsigstraße GmbH,no
,Enertec Hameln,14.5,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,Enertec Hameln GmbH,no
,Stora Enso Maxau,78.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stora Enso Maxau GmbH,no
,BMKW Königs Wusterhausen,17.1,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,MVV Energie AG,no
,BMHKW-BinderHolz,15.13,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,BinderHolz Deutschland GmbH,no
,Landesbergen Biomasse,22.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,Statkraft Markets GmbH,no
,BMK Lünen ,20.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,STEAG New Energies GmbH,no
,Biomasseheizkraftwerk Piesteritz,18.1,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Leipzig GmbH,no
,Biomasse-Heizkraftwerk Malchin,9.8,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,envia THERM GmbH,no
,BMKW Mannheim,17.9,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,no,,,,,,,,,,,,,,MVV Energie AG,no
,SCA Mannheim,40.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Essity Operations Mannheim GmbH,no
,KWK Neumarkt,15.6,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Pfleiderer Neumarkt GmbH,no
,Heizkraftwerk Pforzheim GmbH,12.3,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Heizkraftwerk Pforzheim GmbH,no
,BMHKW-RE Recklinghausen,15.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Ökotech Ingenieurgesellschaft mbh,no
,Heizkraftwerk der Sappi Stockstadt GmbH,13.9934,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Stockstadt GmbH,no
,Wi-Biebrich,6.7,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,InfraServ GmbH & Co. Wiesbaden KG,no
,Zolling,18.3,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,ENGIE Deutschland AG,no
,Kraftwerk Leipa Georg Leinfelder GmbH Werk Schwedt Nord,13.3,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,LEIPA Georg Leinfelder GmbH,no
,PKV Kraftwerk,1.92,1.0,DE,,,ICEN,Biomass and biogas,0.4504,,,,,,,,,,,,yes,,,,,,,,,,,,,,Papier- u. Kartonfabrik Varel GmbH & Co. KG,no
,Blockheizkraftwerk 1,1.1,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,DS Smith Paper Deutschland GmbH,no
,Blockheizkraftwerk 2,0.8,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,DS Smith Paper Deutschland GmbH,no
,Energieanlage 3,18.6,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,SWISS KRONO GmbH,no
,BioHKW I,8.7,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Fernwärme Ulm GmbH,no
,BioHKW II,4.5,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Fernwärme Ulm GmbH,no
,Bio HKW Herbrechtingen,14.0,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Biomasse-Heizkraftwerk-Herbrechtingen GmbH,no
,BioEnergie Park Klarsee,17.8,1.0,DE,,,STUR,Biomass and biogas,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Geno Bioenergie Leasingfonds Erste GmbH & Co. KG,no
,Papierfabrik Albbruck,28.0,1.0,DE,,,STUR,Hard coal,0.4475,,,,,,,,,,,,yes,,,,,,,,,,,,,,Papierfabrik Albbruck GmbH,no
,Heizkraftwerk Altbach/Deizisau,336.0,1.0,DE,,,STUR,Hard coal,0.44,,,,,,,,,,,,yes,,,280,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Heizkraftwerk Altbach/Deizisau,433.0,1.0,DE,,,STUR,Hard coal,0.455,,,,,,,,,,,,yes,,,280,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Bergkamen,1443.0,2.0,DE,,,STUR,Hard coal,0.38,,,,,,,,,,,,no,,,20.0,,,,,,,,,,,STEAG GmbH,yes
,Reuter,124.0,1.0,DE,,,STUR,Hard coal,0.3475,,,,,,,,,,,,yes,,,,,,,,,,,,,,Vattenfall Wärme Berlin AG,no
,Moabit,89.0,1.0,DE,,,STUR,Hard coal,0.4,,,,,,,,,,,,yes,,,136,,,,,,,,,,,Vattenfall Wärme Berlin AG,no
,Reuter West,564.0,2.0,DE,,,STUR,Hard coal,0.39375,,,,,,,,,,,,yes,,,726,,,,,,,,,,,Vattenfall Wärme Berlin AG,yes
,HKW-Mitte,43.3,1.0,DE,,,COMC,Hard coal,0.468,,,,,,,,,,,,yes,,,121.63736343772757,,,,,,,,,,,Braunschweiger Versorgungs-AG & Co. KG,no
,KW Hastedt,119.0,1.0,DE,,,STUR,Hard coal,0.3975,,,,,,,,,,,,yes,,,150,,,,,,,,,,,swb Erzeugung AG & Co. KG,no
,KW Hafen,127.0,1.0,DE,,,STUR,Hard coal,0.345,,,,,,,,,,,,yes,,,,,,,,,,,,,,swb Erzeugung GmbH & Co. KG,no
,KW Hafen,303.0,1.0,DE,,,STUR,Hard coal,0.3725,,,,,,,,,,,,yes,,,39,,,,,,,,,,,swb Erzeugung AG & Co. KG,no
,Farge,350.0,1.0,DE,,,STUR,Hard coal,0.4425,,,,,,,,,,,,no,,,26,,,,,,,,,,,ENGIE Deutschland AG,no
,Datteln,303.0,3.0,DE,,,STUR,Hard coal,0.3391666666666666,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Uniper Kraftwerke GmbH ,yes
,Knepper,345.0,1.0,DE,,,STUR,Hard coal,0.3525,,,,,,,,,,,,yes,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,HKW I,95.0,1.0,DE,,,STUR,Hard coal,0.3875,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Duisburg AG,no
,HKW II/B,133.0,1.0,DE,,,STUR,Hard coal,0.3375,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Duisburg AG,no
,KW Walsum,1224.0,3.0,DE,,,STUR,Hard coal,0.3916666666666666,,,,,,,,,,,,no,,,295.0,,,,,,,,,,,Steag GmbH,yes
,Kraftwerk Ensdorf,389.0,2.0,DE,,,STUR,Hard coal,0.3925,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF),yes
,HKW Erlangen,17.4,1.0,DE,,,STUR,Hard coal,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Erlanger Stadtwerke AG,no
,Heizkraftwerk FL,31.0,1.0,DE,,,COMC,Hard coal,0.504,,,,,,,,,,,,yes,,,44.00487804878049,,,,,,,,,,,Stadtwerke Flensburg GmbH,no
,Heizkraftwerk FL,33.0,1.0,DE,,,COMC,Hard coal,0.4905,,,,,,,,,,,,yes,,,46.84390243902439,,,,,,,,,,,Stadtwerke Flensburg GmbH,no
,Heizkraftwerk FL,33.0,1.0,DE,,,COMC,Hard coal,0.4725,,,,,,,,,,,,yes,,,46.84390243902439,,,,,,,,,,,Stadtwerke Flensburg GmbH,no
,Heizkraftwerk FL,35.0,1.0,DE,,,STUR,Hard coal,0.38,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Flensburg GmbH,no
,Heizkraftwerk FL,23.0,1.0,DE,,,STUR,Hard coal,0.37,,,,,,,,,,,,yes,,,,,,,,,,,,,,Stadtwerke Flensburg GmbH,no
,HKW West,61.5,1.0,DE,,,STUR,Hard coal,0.395,,,,,,,,,,,,yes,,,105.0,,,,,,,,,,,Mainova AG,no
,HKW West,61.5,1.0,DE,,,STUR,Hard coal,0.3975,,,,,,,,,,,,yes,,,105.0,,,,,,,,,,,Mainova AG,no
,Scholven,2056.0,5.0,DE,,,STUR,Hard coal,0.3535,,,,,,,,,,,,yes,,,0.0,,,,,,,,,,,Uniper Kraftwerke GmbH ,yes
,FWK Buer,70.0,1.0,DE,,,STUR,Hard coal,0.3875,,,,,,,,,,,,yes,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Staudinger,249.0,1.0,DE,,,STUR,Hard coal,0.3375,,,,,,,,,,,,yes,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Staudinger,293.0,1.0,DE,,,STUR,Hard coal,0.35,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Staudinger,510.0,1.0,DE,,,STUR,Hard coal,0.405,,,,,,,,,,,,yes,,,300,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Tiefstack,194.0,1.0,DE,,,STUR,Hard coal,0.4075,,,,,,,,,,,,yes,,,785,,,,,,,,,,,Wärme Hamburg GmbH,no
,Wedel,123.0,1.0,DE,,,STUR,Hard coal,0.4075,,,,,,,,,,,,yes,,,,,,,,,,,,,,Wärme Hamburg GmbH,no
,Wedel,137.0,1.0,DE,,,STUR,Hard coal,0.4075,,,,,,,,,,,,yes,,,423,,,,,,,,,,,Wärme Hamburg GmbH,no
,Westfalen,2116.7,5.0,DE,,,STUR,Hard coal,0.3865,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,RWE Generation SE,yes
,GKH,272.0,2.0,DE,,,STUR,Hard coal,0.3975,,,,,,,,,,,,yes,,,425.0,,,,,,,,,,,enercity AG,yes
,Heizkraftwerk Heilbronn,1028.0,3.0,DE,,,STUR,Hard coal,0.4491666666666667,,,,,,,,,,,,no,,,606,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,yes
,KW Herne,862.0,3.0,DE,,,STUR,Hard coal,0.3766666666666667,,,,,,,,,,,,no,,,550.0,,,,,,,,,,,Steag GmbH,yes
,Shamrock,132.0,1.0,DE,,,STUR,Hard coal,0.3175,,,,,,,,,,,,yes,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,KWM,690.0,1.0,DE,,,STUR,Hard coal,0.4325,,,,,,,,,,,,no,,,n.b.,,,,,,,,,,,Kraftwerk Mehrum GmbH,no
,Ibbenbüren,794.0,1.0,DE,,,STUR,Hard coal,0.4475,,,,,,,,,,,,yes,,,20,,,,,,,,,,,RWE Generation SE,no
,Heizkraftwerk,66.0,1.0,DE,,,STUR,Hard coal,0.3975,,,,,,,,,,,,yes,,,,,,,,,,,,,,Infraserv GmbH & Co. Höchst KG,no
,HKW Karcherstr.,13.4,1.0,DE,,,STUR,Hard coal,0.415,,,,,,,,,,,,yes,,,,,,,,,,,,,,"SWK Stadtwerke Kaiserslautern, Versorgungs-AG",no
,Rheinhafen-Dampfkraftwerk,517.0,1.0,DE,,,STUR,Hard coal,0.4375,,,,,,,,,,,,yes,,,220,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Rheinhafen-Dampfkraftwerk,834.0,1.0,DE,,,STUR,Hard coal,0.46,,,,,,,,,,,,yes,,,220,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Gemeinschaftskraftwerk Kiel,323.0,1.0,DE,,,STUR,Hard coal,0.35,,,,,,,,,,,,yes,,,,,,,,,,,,,,Gemeinschaftskraftwerk Kiel GmbH,no
,Kraftwerk L 57,26.0,1.0,DE,,,STUR,Hard coal,0.3175,,,,,,,,,,,,yes,,,,,,,,,,,,,,Currenta GmbH & Co. OHG,no
,Kraftwerk N 230,110.0,1.0,DE,,,STUR,Hard coal,0.3525,,,,,,,,,,,,yes,,,460,,,,,,,,,,,Currenta GmbH & Co. OHG,no
,G-Kraftwerk,103.0,1.0,DE,,,STUR,Hard coal,0.33,,,,,,,,,,,,yes,,,572.1328125,,,,,,,,,,,Currenta GmbH & Co. OHG,no
,KW Lünen,473.0,2.0,DE,,,STUR,Hard coal,0.3399999999999999,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,Steag GmbH,yes
,GKM ,2363.0,6.0,DE,,,STUR,Hard coal,0.39625,,,,,,,,,,,,yes,,,1500.0,,,,,,,,,,,Grosskraftwerk Mannheim AG,yes
,Kraftwerk I  ,55.56,1.0,DE,,,COMC,Hard coal,0.4095,,,,,,,,,,,,yes,,,155.91202945990182,,,,,,,,,,,Evonik Degussa GmbH,no
,Kraftwerk II,60.4,1.0,DE,,,STUR,Hard coal,0.34,,,,,,,,,,,,yes,,,,,,,,,,,,,,Evonik Degussa GmbH,no
,Kraftwerk I ,68.4,1.0,DE,,,COMC,Hard coal,0.4635,,,,,,,,,,,,yes,,,191.94353518821606,,,,,,,,,,,Evonik Degussa GmbH,no
,Kraftwerk I,169.32,1.0,DE,,,COMC,Hard coal,0.27,,,,,,,,,,,,yes,,,475.1444353518822,,,,,,,,,,,Evonik Degussa GmbH,no
,Heizkraftwerk Offenbach,54.0,1.0,DE,,,STUR,Hard coal,0.4,,,,,,,,,,,,yes,,,,,,,,,,,,,,Energieversorgung Offenbach AG,no
,Heyden,875.0,1.0,DE,,,STUR,Hard coal,0.3925,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Heizkraftwerk Pforzheim GmbH,26.9,1.0,DE,,,STUR,Hard coal,0.4,,,,,,,,,,,,yes,,,,,,,,,,,,,,Heizkraftwerk Pforzheim GmbH,no
,Kraftwerk Veltheim,93.0,1.0,DE,,,STUR,Hard coal,0.3375,,,,,,,,,,,,no,,,,,,,,,,,,,,Gemeinschaftskraftwerk Veltheim GmbH,no
,Kraftwerk Veltheim,303.0,1.0,DE,,,STUR,Hard coal,0.35,,,,,,,,,,,,no,,,,,,,,,,,,,,Uniper Kraftwerke GmbH ,no
,Weiher,655.6,1.0,DE,,,STUR,Hard coal,0.365,,,,,,,,,,,,yes,,,30,,,,,,,,,,,Steag GmbH,no
,KNG Kraftwerk Rostock,514.0,1.0,DE,,,STUR,Hard coal,0.41,,,,,,,,,,,,yes,,,150,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,HKW Römerbrücke,50.0,1.0,DE,,,STUR,Hard coal,0.4375,,,,,,,,,,,,yes,,,94.0,,,,,,,,,,,Energie SaarLorLux AG,no
,Heizkraftwerk der Sappi Stockstadt GmbH,24.79,1.0,DE,,,STUR,Hard coal,0.35,,,,,,,,,,,,yes,,,,,,,,,,,,,,Sappi Stockstadt GmbH,no
,Heizkraftwerk Stuttgart-Gaisburg,22.6,1.0,DE,,,STUR,Hard coal,0.4475,,,,,,,,,,,,yes,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Restmüll-Heizkraftwerk Stuttgart-Münster,45.0,1.0,DE,,,STUR,Hard coal,0.38,,,,,,,,,,,,yes,,,183.6986301369863,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Restmüll-Heizkraftwerk Stuttgart-Münster,45.0,1.0,DE,,,STUR,Hard coal,0.385,,,,,,,,,,,,yes,,,183.6986301369863,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Nord 2,332.7,1.0,DE,,,STUR,Hard coal,0.4025,,,,,,,,,,,,yes,,,550,,,,,,,,,,,SWM Services GmbH,no
,KW West,640.0,2.0,DE,,,STUR,Hard coal,0.3525,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,Steag GmbH,yes
,KW Voerde,1390.0,2.0,DE,,,STUR,Hard coal,0.38375,,,,,,,,,,,,no,,,0.0,,,,,,,,,,,RWE Generation SE,yes
,Modellkraftwerk,179.0,1.0,DE,,,STUR,Hard coal,0.38,,,,,,,,,,,,yes,,,210,,,,,,,,,,,Steag GmbH,no
,Heizkraftwerk,211.0,1.0,DE,,,STUR,Hard coal,0.3975,,,,,,,,,,,,yes,,,185,,,,,,,,,,,Steag GmbH,no
,Kraftwerk Walheim,96.0,1.0,DE,,,STUR,Hard coal,0.4525,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Kraftwerk Walheim,148.0,1.0,DE,,,STUR,Hard coal,0.4525,,,,,,,,,,,,no,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG,no
,Kraftwerk Werdohl-Elverlingsen,186.0,1.0,DE,,,STUR,Hard coal,0.3525,,,,,,,,,,,,,,,,,,,,,,,,,,Mark-E AG,no
