,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,FHIBGES,1296.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COFRENTES,1064.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VANDELLOS,1045.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 1,1011.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALMARAZ 2,1006.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRILLO,1003.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCO 1,996.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASCO 2,992.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGPEM,806.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLARES 1,801.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FFIBGES,455.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FV 100EGPE,418.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOLARMULA,393.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGASNE2,360.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGIBGES,302.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGP2,292.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PV AUDAX,280.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGENIA,250.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FTASOL,244.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VALDESOLAR,206.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FV100EGHAB,203.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FFNEXU,184.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SHEEN PV3,180.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FFWMARK,174.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRSIGMA,170.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HABGN,169.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FVGREEN,164.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLAISLA,158.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RODRIG,148.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FV SABINAR,130.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OLMEDILLA,130.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLIFV48,114.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SFGUILLENA,100.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PALMASAETI,100.0,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FREGPE,,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPLUS FV2,,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SFWMARK,,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FGASNE0,,1.0,ES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LITORAL 2,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LITORAL 1,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 2,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 1,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 4,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P.G.RODR 3,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LADA 4,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NARCEA 3,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PUENTENUEV,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EREGPE,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EEGPE,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGMEBRO,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EALAND,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2CEG,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TFDETIC,,1.0,ES,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NARCEA 2,,1.0,ES,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGIBGES,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDERNA,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ECEASA,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGVREN2,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EALFOZ,,1.0,ES,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
